zone_pickup	zone_dropoff	trip_distance
DUMBO/Vinegar Hill	JFK	18.188856015779102
DUMBO/Vinegar Hill	LGA	10.638780487804878
DUMBO/Vinegar Hill	EWR	17.069999999999997
Douglaston	JFK	10.835714285714285
Douglaston	LGA	12.540000000000001
Douglaston	EWR	30.3
Downtown Brooklyn/MetroTech	JFK	17.621845827439884
Downtown Brooklyn/MetroTech	LGA	10.257665890570435
Downtown Brooklyn/MetroTech	EWR	16.755243902439027
Dyker Heights	JFK	19.344
Dyker Heights	LGA	16.58
Dyker Heights	EWR	16.822499999999998
East Chelsea	JFK	17.892299394896074
East Chelsea	LGA	10.80851655629137
East Chelsea	EWR	16.780277953253286
East Concourse/Concourse Village	JFK	19.8704
East Concourse/Concourse Village	LGA	8.2964
East Elmhurst	JFK	10.675815438189197
East Elmhurst	LGA	1.3827916666666673
East Elmhurst	EWR	32.62599999999999
East Flatbush/Farragut	JFK	11.408717948717948
East Flatbush/Farragut	LGA	14.9875
East Flatbush/Remsen Village	JFK	9.077777777777776
East Flatbush/Remsen Village	LGA	13.853636363636365
East Flushing	JFK	11.577142857142858
East Flushing	LGA	4.995
East Harlem North	JFK	17.02629468599031
East Harlem North	LGA	6.612521268368159
East Harlem North	EWR	25.63507692307692
East Harlem South	JFK	18.120590479651153
East Harlem South	LGA	7.841517125446528
East Harlem South	EWR	23.443450479233235
East New York	JFK	6.668876404494385
East New York	LGA	14.203333333333333
East New York	EWR	28.03333333333333
East New York/Pennsylvania Avenue	JFK	8.57095238095238
East New York/Pennsylvania Avenue	LGA	11.05
East Tremont	JFK	15.204999999999998
East Tremont	LGA	9.833750000000002
East Tremont	EWR	31.2
East Village	JFK	17.63036371325861
East Village	LGA	10.417601847465667
East Village	EWR	15.257603594608096
East Williamsburg	JFK	14.604607508532421
East Williamsburg	LGA	7.7535185185185185
East Williamsburg	EWR	18.938181818181818
Eastchester	JFK	16.156666666666666
Eastchester	LGA	13.687142857142858
Elmhurst	JFK	11.252019704433497
Elmhurst	LGA	3.666752688172049
Elmhurst	EWR	29.035
Elmhurst/Maspeth	JFK	11.616214285714278
Elmhurst/Maspeth	LGA	4.039545454545456
Elmhurst/Maspeth	EWR	23.089999999999996
Erasmus	JFK	12.668
Erasmus	LGA	15.11
Erasmus	EWR	21.65
Far Rockaway	JFK	8.615
Far Rockaway	LGA	16.675
Financial District North	JFK	20.344503866681297
Financial District North	LGA	13.314632602655061
Financial District North	EWR	15.917245228664017
Financial District South	JFK	21.280347058823576
Financial District South	LGA	13.663467981838126
Financial District South	EWR	15.864116094986823
Flatbush/Ditmas Park	JFK	15.333000000000002
Flatbush/Ditmas Park	LGA	16.136585365853655
Flatbush/Ditmas Park	EWR	22.71
Flatiron	JFK	17.758860705073115
Flatiron	LGA	10.496249836151536
Flatiron	EWR	15.700684872128269
Flatlands	JFK	12.167941176470586
Flatlands	LGA	12.52857142857143
Flushing	JFK	10.788958333333333
Flushing	LGA	3.67
Flushing	EWR	31.61
Flushing Meadows-Corona Park	JFK	8.403467656415705
Flushing Meadows-Corona Park	LGA	3.8779381443298973
Flushing Meadows-Corona Park	EWR	30.26666666666667
Fordham South	JFK	16.7675
Fordham South	LGA	11.9175
Forest Hills	JFK	7.813252818035422
Forest Hills	LGA	5.885209580838324
Forest Hills	EWR	28.325
Forest Park/Highland Park	JFK	11.17
Forest Park/Highland Park	LGA	9.352500000000001
Fort Greene	JFK	16.086635514018674
Fort Greene	LGA	10.366029411764716
Fort Greene	EWR	17.429512195121948
Fresh Meadows	JFK	9.232500000000002
Fresh Meadows	LGA	6.673333333333333
Freshkills Park	JFK	15.47
Garment District	JFK	17.218139114724508
Garment District	LGA	10.474075672087675
Garment District	EWR	17.290867709815075
Glen Oaks	JFK	10.112857142857143
Glen Oaks	LGA	13.386923076923077
Glendale	JFK	8.082068965517243
Glendale	LGA	10.44
Gowanus	JFK	19.34692307692308
Gowanus	LGA	12.133823529411766
Gowanus	EWR	19.492307692307694
Gramercy	JFK	16.94738670364144
Gramercy	LGA	9.892199626977927
Gramercy	EWR	16.67412289735667
Gravesend	JFK	12.656666666666668
Gravesend	EWR	19.735
Great Kills	JFK	29.689999999999998
Greenpoint	JFK	15.206122448979594
Greenpoint	LGA	7.718041237113403
Greenpoint	EWR	18.5725
Greenwich Village North	JFK	17.932921942619004
Greenwich Village North	LGA	10.755574052812836
Greenwich Village North	EWR	14.860339943342801
Greenwich Village South	JFK	18.118364661654102
Greenwich Village South	LGA	10.880937598986371
Greenwich Village South	EWR	14.354491525423734
Grymes Hill/Clifton	JFK	26.0
Grymes Hill/Clifton	EWR	13.72
Hamilton Heights	JFK	19.469526411657572
Hamilton Heights	LGA	8.794336810730243
Hamilton Heights	EWR	24.28845238095237
Hammels/Arverne	JFK	10.885
Heartland Village/Todt Hill	JFK	26.435000000000002
Highbridge	JFK	20.53047619047619
Highbridge	LGA	9.412631578947368
Highbridge	EWR	25.423333333333332
Highbridge Park	JFK	20.255
Highbridge Park	LGA	11.21375
Highbridge Park	EWR	24.37
Hillcrest/Pomonok	JFK	7.824285714285715
Hillcrest/Pomonok	LGA	6.789285714285714
Hillcrest/Pomonok	EWR	40.385
Hollis	JFK	9.065000000000001
Hollis	LGA	9.82
Homecrest	JFK	16.058181818181822
Homecrest	LGA	22.85
Howard Beach	JFK	4.702360248447207
Howard Beach	LGA	26.505000000000003
Howard Beach	EWR	30.971111111111114
Hudson Sq	JFK	19.301690946930304
Hudson Sq	LGA	11.746672602391262
Hudson Sq	EWR	13.755512285581801
Hunts Point	JFK	18.2425
Hunts Point	LGA	7.8149999999999995
Inwood	JFK	22.370930232558134
Inwood	LGA	11.546621621621622
Inwood	EWR	25.81714285714286
Inwood Hill Park	JFK	19.55
Inwood Hill Park	LGA	11.758333333333333
Inwood Hill Park	EWR	25.96
JFK Airport	JFK	1.8474795751634583
JFK Airport	LGA	12.01586437818015
JFK Airport	EWR	36.40555410264788
Jackson Heights	JFK	12.078400954653937
Jackson Heights	LGA	2.401563184806426
Jackson Heights	EWR	27.651
Jamaica	JFK	6.55918269230769
Jamaica	LGA	7.4578846153846134
Jamaica	EWR	31.680000000000003
Jamaica Bay	JFK	6.453333333333333
Jamaica Bay	LGA	11.07
Jamaica Estates	JFK	9.351923076923079
Jamaica Estates	LGA	7.828333333333333
Kensington	JFK	18.9525
Kensington	LGA	15.28052631578947
Kensington	EWR	23.546363636363637
Kew Gardens	JFK	5.892903487429033
Kew Gardens	LGA	7.194912280701754
Kew Gardens	EWR	31.57
Kew Gardens Hills	JFK	6.904130434782609
Kew Gardens Hills	LGA	5.918571428571428
Kingsbridge Heights	JFK	41.519
Kingsbridge Heights	LGA	19.810000000000002
Kips Bay	JFK	16.410166455962973
Kips Bay	LGA	9.269421541469766
Kips Bay	EWR	17.33485148514854
LaGuardia Airport	JFK	12.268192253630987
LaGuardia Airport	LGA	1.7099532133795607
LaGuardia Airport	EWR	29.201797082228083
Laurelton	JFK	6.283750000000001
Laurelton	LGA	13.66
Laurelton	EWR	38.11
Lenox Hill East	JFK	18.940629190304268
Lenox Hill East	LGA	9.015297260737253
Lenox Hill East	EWR	20.73200684150511
Lenox Hill West	JFK	18.259921692260807
Lenox Hill West	LGA	8.902089961601781
Lenox Hill West	EWR	20.084333976833978
Lincoln Square East	JFK	19.27444429941922
Lincoln Square East	LGA	10.7972456289765
Lincoln Square East	EWR	18.435547780450417
Lincoln Square West	JFK	20.448265624999987
Lincoln Square West	LGA	10.975856519777386
Lincoln Square West	EWR	18.0761057382334
Little Italy/NoLiTa	JFK	17.72632273838631
Little Italy/NoLiTa	LGA	10.84661455009572
Little Italy/NoLiTa	EWR	14.210685579196195
Long Island City/Hunters Point	JFK	14.666172166427605
Long Island City/Hunters Point	LGA	7.08545049063336
Long Island City/Hunters Point	EWR	21.170952380952382
Long Island City/Queens Plaza	JFK	15.496167290886385
Long Island City/Queens Plaza	LGA	5.362038961038954
Long Island City/Queens Plaza	EWR	21.53125
Longwood	JFK	20.004
Longwood	LGA	7.733636363636363
Lower East Side	JFK	17.410609226594275
Lower East Side	LGA	10.407878136200742
Lower East Side	EWR	15.203192890059238
Madison	JFK	14.464166666666666
Madison	LGA	20.5
Madison	EWR	24.270000000000003
Manhattan Beach	JFK	11.710555555555556
Manhattan Beach	LGA	22.6
Manhattan Beach	EWR	22.296666666666667
Manhattan Valley	JFK	19.486482885837283
Manhattan Valley	LGA	9.000351364602084
Manhattan Valley	EWR	21.811261034047916
Manhattanville	JFK	19.127434402332344
Manhattanville	LGA	8.19201166180758
Manhattanville	EWR	24.12846153846154
Marble Hill	JFK	22.535
Marble Hill	LGA	13.296666666666667
Marble Hill	EWR	25.7
Marine Park/Floyd Bennett Field	JFK	13.292812500000002
Marine Park/Floyd Bennett Field	EWR	25.444444444444446
Marine Park/Mill Basin	JFK	12.307916666666669
Marine Park/Mill Basin	LGA	17.39
Marine Park/Mill Basin	EWR	26.4
Mariners Harbor	EWR	8.92
Maspeth	JFK	11.562983539094661
Maspeth	LGA	7.099090909090908
Maspeth	EWR	24.215
