crash_date,hour,latitude,longitude
2022-02-07,12,40.865550000000000000,-73.888970000000000000
2022-02-14,16,40.620950000000000000,-73.955500000000000000
2022-02-02,12,40.706190000000000000,-74.009170000000000000
2022-02-01,11,40.803696000000000000,-73.937920000000000000
2022-02-02,11,40.643490000000000000,-73.990000000000000000
2022-02-04,17,40.756930000000000000,-73.779020000000000000
2022-01-29,13,40.866600000000000000,-73.895454000000000000
2022-02-04,15,40.651573000000000000,-73.943850000000000000
2022-02-04,11,40.648117000000000000,-73.931015000000000000
2022-01-30,17,40.825577000000000000,-73.918465000000000000
2022-02-03,10,40.711033000000000000,-73.728100000000000000
2022-02-02,19,40.876560000000000000,-73.904360000000000000
2022-02-07,19,40.807770000000000000,-73.945490000000000000
2022-02-07,7,40.629566000000000000,-73.965820000000000000
2022-02-07,17,40.833940000000000000,-73.908700000000000000
2022-02-02,6,40.857414000000000000,-73.846620000000000000
2022-02-04,16,40.692417000000000000,-73.902794000000000000
2022-02-02,6,40.838333000000000000,-73.916920000000000000
2022-01-27,16,40.853016000000000000,-73.935390000000000000
2022-02-04,10,40.597130000000000000,-73.938350000000000000
2022-02-06,0,40.850445000000000000,-73.922554000000000000
2022-02-07,16,40.659420000000000000,-73.922760000000000000
2022-02-07,12,40.859306000000000000,-73.898850000000000000
2022-02-07,0,40.679253000000000000,-73.818710000000000000
2022-02-07,18,40.670586000000000000,-73.765090000000000000
2022-02-07,20,40.714165000000000000,-74.006320000000000000
2022-02-07,9,40.847248000000000000,-73.936870000000000000
2022-02-07,21,40.695580000000000000,-73.839490000000000000
2022-02-07,8,40.730953000000000000,-73.858864000000000000
2022-02-07,14,40.823135000000000000,-73.882250000000000000
2022-02-07,18,40.801000000000000000,-73.913710000000000000
2022-02-07,15,40.820940000000000000,-73.868980000000000000
2022-01-23,2,40.771305000000000000,-73.876640000000000000
2022-02-07,10,40.715622000000000000,-73.994280000000000000
2022-02-07,17,40.607643000000000000,-74.033750000000000000
2022-02-02,8,40.696080000000000000,-73.969400000000000000
2022-01-28,18,40.664192000000000000,-73.841125000000000000
2022-02-03,11,40.743390000000000000,-73.986150000000000000
2022-02-02,17,40.717900000000000000,-73.832020000000000000
2022-02-02,16,40.676930000000000000,-74.002110000000000000
2022-02-04,22,40.699265000000000000,-73.914820000000000000
2022-02-03,9,40.660004000000000000,-73.915290000000000000
2022-02-03,18,40.820984000000000000,-73.891624000000000000
2022-02-04,23,40.863970000000000000,-73.898220000000000000
2022-02-03,15,40.636000000000000000,-73.937410000000000000
2022-02-03,18,40.740257000000000000,-73.865320000000000000
2022-02-02,21,40.731598000000000000,-73.757990000000000000
2022-02-02,13,40.698940000000000000,-73.837170000000000000
2022-02-03,1,40.722843000000000000,-73.955420000000000000
2022-02-02,17,40.686990000000000000,-73.852900000000000000
2022-01-29,12,40.678177000000000000,-73.944690000000000000
2022-02-03,20,40.595920000000000000,-73.941025000000000000
2022-02-02,19,40.817795000000000000,-73.893190000000000000
2022-02-03,18,40.612175000000000000,-73.993970000000000000
2022-02-03,18,40.629166000000000000,-73.947334000000000000
2022-02-02,9,40.820972000000000000,-73.892845000000000000
2022-02-02,7,40.799297000000000000,-73.941130000000000000
2022-02-04,17,40.647243000000000000,-73.960480000000000000
2022-02-01,8,40.812126000000000000,-73.904190000000000000
2022-02-04,7,40.843502000000000000,-73.937990000000000000
2022-02-02,4,40.809070000000000000,-73.944550000000000000
2022-02-02,23,40.718353000000000000,-73.765400000000000000
2022-01-27,17,40.663990000000000000,-73.929880000000000000
2022-02-04,8,40.753677000000000000,-73.914474000000000000
2022-02-02,12,40.738373000000000000,-73.888260000000000000
2022-02-02,17,40.756397000000000000,-73.804535000000000000
2022-02-03,18,40.705677000000000000,-73.926094000000000000
2022-02-04,10,40.795708000000000000,-73.936880000000000000
2022-02-03,19,40.695717000000000000,-73.965920000000000000
2022-02-02,4,40.615376000000000000,-73.999270000000000000
2022-01-27,17,40.704033000000000000,-73.793800000000000000
2022-02-04,1,40.696667000000000000,-73.750175000000000000
2022-02-04,13,40.729416000000000000,-73.987100000000000000
2022-02-03,1,40.755165000000000000,-73.889100000000000000
2022-02-03,18,40.886300000000000000,-73.863525000000000000
2022-02-03,8,40.606890000000000000,-73.957950000000000000
2022-01-26,15,40.700554000000000000,-73.842940000000000000
2022-02-03,8,40.586117000000000000,-73.936040000000000000
2022-02-02,21,40.830800000000000000,-73.905020000000000000
2022-02-02,20,40.732277000000000000,-73.849270000000000000
2022-02-03,16,40.591700000000000000,-74.164430000000000000
2022-02-03,16,40.854588000000000000,-73.901870000000000000
2022-02-03,8,40.734886000000000000,-73.989950000000000000
2022-02-03,9,40.705616000000000000,-73.865750000000000000
2022-02-02,7,40.771347000000000000,-73.922850000000000000
2022-02-04,11,40.836018000000000000,-73.924300000000000000
2022-01-30,14,40.765648000000000000,-73.723920000000000000
2022-02-03,14,40.711998000000000000,-74.005264000000000000
2022-02-03,18,40.692684000000000000,-73.968740000000000000
2022-02-02,18,40.877390000000000000,-73.866500000000000000
2022-02-04,21,40.642014000000000000,-73.931300000000000000
2022-01-26,7,40.683956000000000000,-73.989560000000000000
2022-02-04,15,40.743874000000000000,-73.971630000000000000
2022-02-04,5,40.742676000000000000,-73.839516000000000000
2022-02-04,14,40.763535000000000000,-73.771710000000000000
2022-02-04,17,40.758290000000000000,-73.834310000000000000
2022-02-03,0,40.691300000000000000,-73.945500000000000000
2022-02-04,18,40.610947000000000000,-73.953606000000000000
2022-02-02,2,40.796530000000000000,-73.975970000000000000
