hour	conditions	trip_delay	delay_indicator
0	Clear	0.38694009713977334	0.0
0	Overcast	0.3575063613231552	7.60679392861833
0	Partially cloudy	0.376086057095573	2.8050957045890073
0	Rain	0.3562091503267974	7.942042460870908
0	Rain, Overcast	0.3562091503267974	7.942042460870908
0	Rain, Partially cloudy	0.31645569620253167	18.215843087407094
0	Snow, Overcast	0.3269230769230769	15.510674820298249
0	Snow, Partially cloudy	0.35555555555555557	8.110956144428954
1	Clear	0.3196308724832215	17.395257083485433
1	Overcast	0.32745098039215687	15.37424453742446
1	Partially cloudy	0.34701223902087835	10.31887323491108
1	Rain	0.3238095238095238	16.31533506010493
1	Rain, Overcast	0.3238095238095238	16.31533506010493
1	Rain, Partially cloudy	0.2918149466192171	24.583947547362726
1	Snow, Overcast	0.25	35.390516039051604
1	Snow, Partially cloudy	0.2753623188405797	28.835930709680028
2	Clear	0.21080669710806696	15.51955233734336
2	Overcast	0.22574626865671643	11.65860030391973
2	Partially cloudy	0.22194972409564684	12.639771443621534
2	Rain	0.14673913043478262	22.07704202292159
2	Rain, Overcast	0.14673913043478262	22.07704202292159
2	Rain, Partially cloudy	0.2029520295202952	27.54949641546625
2	Snow, Overcast	0.02702702702702703	43.01519092314072
2	Snow, Partially cloudy	0.1111111111111111	41.28467379513404
3	Clear	0.1659805389221557	17.104332130717644
3	Overcast	0.14597060314242272	22.2756586299987
3	Partially cloudy	0.1548921537980619	29.969991494029465
3	Rain	0.12755716004813478	27.03439085506363
3	Rain, Overcast	0.12755716004813478	27.03439085506363
3	Rain, Partially cloudy	0.13893967093235832	24.09271823742539
3	Snow, Overcast	0.07657657657657657	40.20970761556535
3	Snow, Partially cloudy	0.08333333333333333	48.46350534635053
4	Clear	0.14906078514140989	21.477038372798816
4	Overcast	0.1571836840737854	29.37777313964793
4	Partially cloudy	0.15570312826295785	29.76040492729974
4	Rain	0.14061872237846526	33.658787647517975
4	Rain, Overcast	0.14061872237846526	33.658787647517975
4	Rain, Partially cloudy	0.1256206554121152	37.53485711594847
4	Snow, Overcast	0.10906298003072197	41.81398856388734
4	Snow, Partially cloudy	0.1262135922330097	47.38161974787072
5	Clear	0.1467809210339642	22.06624174673143
5	Overcast	0.14953998584571834	21.35319473192244
5	Partially cloudy	0.15197352225170271	20.72427660635912
5	Rain	0.17173178967679692	35.61799075716811
5	Rain, Overcast	0.17173178967679692	35.61799075716811
5	Rain, Partially cloudy	0.15814341300722623	39.129742775119915
5	Snow, Overcast	0.11826347305389222	39.43623213823399
5	Snow, Partially cloudy	0.11484290357529794	40.32023705369218
6	Clear	0.20819588347349346	36.19428562393537
6	Overcast	0.19945677846008503	38.452801884722795
6	Partially cloudy	0.1981878775255155	38.7807340230432
6	Rain	0.23006910500589922	40.541415400846404
6	Rain, Overcast	0.23006910500589922	40.541415400846404
6	Rain, Partially cloudy	0.20260021668472372	47.64041819849469
6	Snow, Overcast	0.10358890701468189	73.22869669481094
6	Snow, Partially cloudy	0.08333333333333333	78.46350534635053
7	Clear	0.25395236210389066	34.36907573521488
7	Overcast	0.21818934584598398	43.611595836456296
7	Partially cloudy	0.22566371681415928	41.6799348317103
7	Rain	0.09477124183006536	75.50751588408492
7	Rain, Overcast	0.2422279792746114	47.39910103265621
7	Rain, Partially cloudy	0.20146716765074252	47.933241052046604
7	Snow, Overcast	0.13043478260869565	66.29070402037476
7	Snow, Partially cloudy	0.09397944199706314	75.71214699852747
8	Clear	0.24291227167481347	37.222253917234404
8	Overcast	0.2047622998423629	47.08165389011179
8	Partially cloudy	0.2336846776877843	39.60701426004681
8	Rain	0.259850166481687	52.84485934580668
8	Rain, Overcast	0.259850166481687	52.84485934580668
8	Rain, Partially cloudy	0.18666400479137552	51.75893990538092
8	Snow, Overcast	0.17222222222222222	65.49124438245777
8	Snow, Partially cloudy	0.13202247191011235	65.88038487455535
9	Clear	0.2465908396012964	36.271572415452965
9	Overcast	0.192515627639804	40.246658575096674
9	Partially cloudy	0.24593972700667963	46.439844610407626
9	Rain	0.2761688434601552	48.627494151789747
9	Rain, Overcast	0.2761688434601552	48.627494151789747
9	Rain, Partially cloudy	0.23324396782841822	49.7209104064074
9	Snow, Overcast	0.09941520467836257	74.30733971143573
9	Snow, Partially cloudy	0.14492753623188406	62.54522668930528
10	Clear	0.23387305699481864	39.558329900781175
10	Overcast	0.21238209312771372	45.11241024188932
10	Partially cloudy	0.24055172413793102	47.83230895012745
10	Rain	0.2567890506191614	53.6359678106965
10	Rain, Overcast	0.2567890506191614	53.6359678106965
10	Rain, Partially cloudy	0.20674486803519063	66.56928305868784
10	Snow, Overcast	0.09941520467836257	74.30733971143573
10	Snow, Partially cloudy	0.13978494623655913	63.874267032587994
11	Clear	0.2397753860552176	38.032944161740836
11	Overcast	0.20310743801652892	47.509332964487015
11	Partially cloudy	0.23382775207125484	39.57003841171057
11	Rain	0.23589913735899137	39.03471387361074
11	Rain, Overcast	0.23589913735899137	39.03471387361074
11	Rain, Partially cloudy	0.221658474710639	42.71504133349874
11	Snow, Overcast	0.14388489208633093	62.814685490101645
11	Snow, Partially cloudy	0.13548387096774195	64.98582804696989
12	Clear	0.24353305621011942	37.061819643326174
12	Overcast	0.21221151037101957	45.15649529741991
12	Partially cloudy	0.23750583839327416	48.619481374792606
12	Rain	0.20130046057978868	57.976324483354475
12	Rain, Overcast	0.20130046057978868	57.976324483354475
12	Rain, Partially cloudy	0.21301505245552685	54.948829539736224
12	Snow, Overcast	0.1658119658119658	77.147897817353886
